name,latitude,longitude
Stenay,49.4937,5.17084
Coudekerque-Branche,51.01951,2.37452
Bulligny-Crezilles,48.583,5.86087
Les Fontinettes,50.94027,1.84932
Conflans-Ste-Honorine,48.99691,2.0988
Recquignies,50.28417,4.04463
Maing-Famars,50.31204,3.50171
Hymont-Mattaincourt,48.27071,6.14055
Somain,50.35553,3.27736
Nouvion-sur-Meuse,49.69716,4.79494
Ancemont,49.07027,5.40991
Lamouilly,49.54434,5.23621
Les Islettes,49.10635,5.00253
Gambsheim,48.69492,7.8789
Erstein,48.42286,7.6381
Paris-La Chapelle,48.89865,2.35496
Achères-Ville,48.96935,2.07781
Presles-Courcelles,49.11322,2.2877
Pernes-Camblain,50.48012,2.43095
Maron,48.63687,6.04371
Lannoy,50.68679,3.20683
Bayon,48.46763,6.32218
Renescure,50.73211,2.37188
St-Omer-en-Chaussée,49.53018,1.99694
Cramoisy,49.2563,2.4056
Ste-Marguerite-Remomeix,48.2632,6.98148
Fère-en-Tardenois,49.20852,3.50405
Fourdrain,49.63424,3.48342
La Fontaine-Nord,50.56531,2.92548
Aulnay-sous-Bois,48.93221,2.4947
Deycimont,48.1657,6.64938
Us,49.09904,1.97078
Aulnoye-Aymeries,50.19722,3.84379
Éguelshardt,49.01822,7.49096
Loison,50.44013,2.85904
Bischheim,48.61124,7.74123
St-Vaast-d'Équiqueville,49.81692,1.26291
Certilleux,48.31266,5.71947
Phalempin,50.51506,3.01992
Sarrebourg,48.73862,7.05173
Lille-Jonction-du-Lion-d'Or,50.63424,3.0849
Beuvry (Pas-de-Calais),50.53593,2.69133
Vivier-au-Court,49.72996,4.83592
Ste-Marguerite,50.7406,3.00922
Wesserling,47.88973,6.99784
Oberstinzel,48.78665,7.04123
Thézy-Glimont,49.812,2.43579
Ebersheim,48.30881,7.49271
Corcy,49.25534,3.216
Sedan,49.6949,4.93008
Montbré,49.1938,4.0387
Reims-Maison-Blanche,49.23332,4.0228
Lutzelhouse,48.51796,7.29384
St-Dié,48.28203,6.94759
Arnèke,50.83238,2.40849
Fréthun-lès-Calais,50.9214,1.82381
Strazeele,50.71342,2.63076
Ligny,48.68611,5.32067
Guewenheim,47.74864,7.09176
Tieffenbach-Struth,48.90631,7.25511
Esbly,48.90314,2.81062
Stiring-Wendel,49.20398,6.92982
Frenelle-la-Grande-Puzieux,48.34641,6.09451
Bailleul-Sir-Berthoult,50.33477,2.84099
Troissereux-Fouquenies,49.47114,2.03589
Azerailles,48.49097,6.69673
Anor,49.98503,4.09317
Sains-du-Nord,50.08878,4.00151
Bitche,49.04857,7.43256
Mietesheim,48.88201,7.66312
Senlis,49.20138,2.60838
Gérardmer,48.07217,6.87338
Beauvais,49.42623,2.08796
Florange,49.33067,6.11498
Triel-sur-Seine,48.98074,2.00614
Pouxeux,48.10378,6.58124
Chaourse,49.6962,3.99727
Pouilly-sur-Serre,49.68625,3.58639
Menaucourt,48.64451,5.35577
Orrouy-Glaines,49.28239,2.84652
Tergnier,49.65885,3.29651
Aiglemont,49.78515,4.75695
Hersin-Coupigny,50.43849,2.67251
Grand-Verly-Vadencourt,49.93449,3.58409
Zoufftgen (IE),49.45545,6.12909
Bois-Colombes,48.91373,2.27191
Flavy-le-Martel,49.71873,3.19063
Sarre-Union,48.93625,7.08489
Formerie,49.65418,1.72263
Bains-les-Bains,47.98121,6.29522
Bainville,48.586,6.09954
Piennes,49.30273,5.76823
Curchy-Dreslincourt,49.78203,2.86458
Breuil-le-Sec,49.37804,2.45587
St-Hippolyte (Haut-Rhin),48.22171,7.40268
Lille-Sud,50.61632,3.05514
Vaires-Torcy,48.87535,2.63998
Diemeringen,48.94083,7.18473
Ménil-Flin,48.5048,6.6597
St-Amand-les-Eaux,50.44298,3.41914
Laucourt,49.67871,2.7616
Croix-Wasquehal,50.67859,3.13779
Malling,49.42151,6.30221
Choisy-au-Bac,49.44226,2.86223
Belleville,48.81945,6.10171
Attigny (Ardennes),49.48324,4.58067
Aumale,49.76476,1.75615
Vieux-Thann ZI,47.80216,7.13238
La Bouteille,49.85977,3.98234
Noyon,49.57683,3.00576
Moliens,49.66385,1.80287
Réguisheim,47.89875,7.35072
Fontaine-sur-Somme,50.0299,1.93983
Carvin,50.49031,2.95886
Faubourg-de-Rouvroy,50.11067,1.80753
Dorlisheim,48.52427,7.49281
Huningue (IE),47.60528,7.58639
Bavay,50.2967,3.78048
Quend-Fort-Mahon,50.31801,1.65932
Belloy-St-Martin,49.098,2.36101
Bernes,49.1535,2.30308
Mennessis,49.69208,3.27029
Pont-Petit,49.06122,2.13156
Charny-sur-Meuse,49.20543,5.35769
St-Quentin,49.83968,3.29718
Croix-Fonsommes,49.92262,3.39994
Ermont-Eaubonne,48.98072,2.27124
Paris-Nord,48.88164,2.35616
Pont-de-la-Deule,50.39808,3.08488
Albert,50.00521,2.64315
Landrecies,50.12857,3.68213
Valenciennes,50.36329,3.51599
Valmy,49.08022,4.78905
Lille-Champ-de-Mars,50.61654,3.09057
Le Val-d'Argenteuil,48.95023,2.23069
Seltz,48.89642,8.09798
Liancourt-Rantigny,49.32452,2.44568
Vrizy-Vandy,49.42662,4.68847
Le Stade,48.93123,2.26066
Étival-Clairefontaine,48.36665,6.87702
Anvin,50.44577,2.25847
St-Roch (Somme),49.89313,2.28346
Wiencourt-l'Équipée,49.8484,2.61349
Drusenheim,48.7659,7.94738
Monceau-St-Waast,50.16473,3.85303
Orchies,50.47576,3.25538
Baudricourt,48.30841,6.04631
Consenvoye,49.28269,5.2748
Louvroil,50.26806,3.95309
Haubourdin,50.6071,2.99052
Herny,49.00371,6.47682
Anzeling,49.26242,6.45959
Armentières,50.68026,2.87759
Mars-la-Tour,49.09475,5.88666
Luxeuil-les-Bains,47.81506,6.37235
Vendenheim,48.66542,7.71822
St-Morel,49.33965,4.68216
Philippsbourg,48.98375,7.56478
Lambersart-Halte,50.65261,3.02056
Bliesbrück,49.11838,7.18424
Boué,50.0079,3.69315
La Madeleine (Nord),50.66082,3.07262
Méru,49.23294,2.13228
Courghain,50.99677,2.293
Herblay,48.99057,2.16127
Haussez,49.58074,1.66912
Metz-Ville,49.10899,6.17744
Pouru-Brévilly,49.67317,5.08238
Villers-sur-Coudun,49.47773,2.79212
Laval (Vosges),48.19632,6.69572
Fontaine-au-Pire,50.11558,3.37681
Lecelles,50.46626,3.40364
Hellemmes,50.62277,3.11556
Charmes (Vosges),48.37853,6.30193
Landas,50.46893,3.29011
Bessancourt,49.03573,2.20986
Wardrecques,50.70676,2.36453
La Bleuse-Borne,50.383,3.52154
Somme-Tourbe,49.1004,4.67412
Eu,50.05455,1.4161
Fismes,49.31084,3.68232
Sommery,49.62928,1.43616
Laigneville,49.29296,2.4493
Voncq,49.46017,4.65847
Molsheim,48.53724,7.49978
Caffiers,50.85058,1.81135
Dieuze,48.81453,6.71188
Chattancourt-Cumières,49.2196,5.28529
Rémilly,49.01495,6.39464
Ébersviller,49.27476,6.41134
Sarreguemines,49.10663,7.06812
Lille-Flandres,50.63635,3.07009
Niederbronn-les-Bains,48.95234,7.63376
